code,scientific.name,experiment,prairie.moon.website
ACMI,Achillea millefolium,fall,https://www.prairiemoon.com/achillea-millefolium-yarrow#panel-planting
ASSY,Asclepias syriaca,both,https://www.prairiemoon.com/asclepias-syriaca-common-milkweed
ASTU,Asclepias tuberosa,both,https://www.prairiemoon.com/asclepias-tuberosa-butterfly-weed#panel-planting
SYNO,Symphyotrichum novae-angliae,fall,https://www.prairiemoon.com/symphyotrichum-novae-angliae-new-england-aster#panel-planting
COLA,Coreopsis lanceolata,both,https://www.prairiemoon.com/coreopsis-lanceolata-lance-leaf-coreopsis
COTR,Coreopsis tripteris,fall,https://www.prairiemoon.com/coreopsis-tripteris-tall-coreopsis
DECA,Desmodium canadense,fall,https://www.prairiemoon.com/desmodium-canadense-showy-tick-trefoil
ECPU,Echinacea purpurea,both,https://www.prairiemoon.com/echinacea-purpurea-purple-coneflower
LECA,Lespedeza capitata,fall,https://www.prairiemoon.com/lespedeza-capitata-round-headed-bush-clover
MOFI,Monarda fistulosa,both,https://www.prairiemoon.com/monarda-fistulosa-wild-bergamot
RAPI,Ratibida pinnata,fall,https://www.prairiemoon.com/ratibida-pinnata-yellow-coneflower
RUHI,Rudbeckia hirta,both,https://www.prairiemoon.com/rudbeckia-hirta-black-eyed-susan
SIPE,Silphium perfoliatum,both,https://www.prairiemoon.com/silphium-perfoliatum-cup-plant
SOJU,Solidago juncea,fall,https://www.prairiemoon.com/solidago-juncea-early-goldenrod#panel-planting
SONE,Solidago nemoralis,fall,https://www.prairiemoon.com/solidago-nemoralis-old-field-goldenrod
TROH,Tradescantia ohiensis,fall,https://www.prairiemoon.com/tradescantia-ohiensis-ohio-spiderwort#panel-planting
VEST,Verbena stricta,fall,https://www.prairiemoon.com/verbena-stricta-hoary-vervain#panel-planting
ZIAU,Zizia aurea,fall,https://www.prairiemoon.com/zizia-aurea-golden-alexanders#panel-planting
IPPU,Ipomoea purpurea,both,
OXST,Oxalis stricta,both,
SISP,Sida spinosa,both,
